formula,target
CaCdSn,3.02
NaCaSb,5.45
TiSnIr,3.9
GaP,119.21823647454724
HoBiPd,6.78
BN,1297.6535193731645
LiMgAs,20.18
LuSnAu,4.72
CaTe,11.251761058856696
ZrSiPt,14.11
AlSb,108.21515077187792
BrRb,3.580745504548553
LaMgTl,6.26
ScGeAu,12.52
HNa,16.683299345278375
ScSnAu,7.09
ILi,2.106651824046763
ClK,7.25252794229154
BrCu,8.669870475809189
ZrAsIr,10.43
BeAlB,18.71
PbSe,2.235803693459575
GaSb,24.721266390128005
CdSe,12.476415846764713
CdS,25.818777597301363
FNa,24.508893457866503
ZrCoBi,17.68
GaN,268.3436985461308
CuI,8.955042925685737
TiNiSn,17.54
CsF,1.524343765199638
LiAgTe,3.38
MnGaPt,2.33
NdBiPd,4.59
CaMgSn,4.19
ZrFeTe,20.0
InP,85.89638395842621
YNiP,2.37
AsGa,36.260249234690725
AlP,80.52964132425929
AlN,240.67197827649065
BeSe,453.05605910409946
LuBiPt,5.77
TiTeRu,14.54
NaCaAs,7.57
LuBiPd,5.75
ScNiSb,13.91
BaO,3.105960682473178
InSb,14.66007638969998
YPbAu,3.28
ZrSnPd,14.04
NbCoSn,18.62
YSbPt,3.23
TbNiSb,9.06
LiZnP,9.72
HoGeAu,4.34
CaSe,18.88810237692597
TmSbPd,7.66
LiAgSe,2.72
GaP,118.153031393418
LiZnSb,4.81
LiMgP,19.94
BeTe,197.4769879630724
USnPt,5.41
TiSiPd,25.31
AgI,2.455758728769999
NaBeSb,3.62
TmBiPt,5.94
IK,2.095276061847134
HoNiBi,9.44
AsIn,24.83230873124552
OSr,10.613351708533685
TmNiBi,9.36
LiZnN,17.39
HRb,5.7396759252164005
BP,440.8682856554829
AgBr,0.5324464372285903
BeO,310.93494411307404
CaS,37.00100974066377
ClCu,1.8972895569482464
TbPbAu,3.26
GdSnAu,3.73
TmBiPd,6.28
AsB,1769.0012100965014
ErPbAu,3.51
PbTe,3.205886009838356
ScCoTe,12.7
CdO,8.596884604860122
LaBiPd,4.35
LiCaSb,26.07
CdTe,6.284424732028807
ZrSnPt,13.23
AlAs,80.87898505735956
AsB,1316.4723840736665
GdBiPt,5.54
LiSiB,11.09
BP,484.6934033296575
SeZn,21.42210007080816
GaSb,35.71790768152866
TiGePt,19.4
LiAlSi,5.9
ErSbPd,7.65
InN,107.01979700285294
UNiSn,5.36
HoNiSb,9.69
KBaSb,2.88
TeZn,20.90239196689849
ErNiBi,9.68
FK,7.499885792777106
LiZnAs,13.89
HfNiSn,16.44
YNiBi,5.91
ThNiSn,7.15
DyBiPd,6.93
CuH,5.777278381676896
ErBiPt,6.35
ScSbPt,7.67
CSi,454.4101258161733
TmSnAu,4.61
CaCdSi,3.39
CdS,19.876929564235827
TiSnPd,11.03
LuSbPt,6.42
LiCdP,20.07
LiAlGe,5.08
IRb,2.01353397522604
AgCl,0.5076814928374872
BeS,196.41161229251907
GdNiBi,8.12
ZrSbRu,3.36
YBiPd,4.24
ZrInAu,9.42
ClNa,7.95828288351462
BaTe,11.569691298509456
TiTeOs,12.96
LiCaAs,20.16
BeTe,265.1332487131116
ScBiPd,5.85
AsGa,30.679165561702888
MgCuSb,3.68
BaSe,11.422769913530052
NdNiBi,5.25
DyBiPt,6.23
ErBiPd,6.53
SeZn,18.49308173215492
TbBiPd,6.93
TbNiBi,8.57
InP,69.15364550709126
CaZnSi,2.46
ScNiP,8.87
DyNiSb,9.46
NbSbRu,15.65
ClCu,1.7289937126642387
LiMgSb,14.63
TiFeSe,27.6
GdSbPt,3.34
FLi,16.533653090291597
LiCdAs,16.49
MgScGa,3.88
VAsRu,5.04
LuNiSb,9.97
LiCdSb,3.51
ClLi,4.820913008186313
BrK,2.8819708700878124
HfSnPd,13.99
TmSbPt,5.86
SZn,61.09127307917177
TiSnPt,11.18
GdBiPd,6.8
KSrSb,3.66
TaSbRu,16.23
VSbRu,6.9
ThSnPt,4.15
PrNiBi,4.47
YBiPt,4.61
LiCdAs,16.44
CSi,489.4072006791169
YNiSb,9.03
AlSb,50.338684347127376
InSb,10.878160439978116
HoBiPt,6.46
MgO,66.06932152405832
AgI,4.0876875222285385
DySbPt,4.43
TiSiPt,34.51
AsIn,21.438211001284497
ScNiBi,9.06
DySbPd,7.67
OZn,70.88344515489206
ErSbPt,5.41
