formula,TC
TiSnPt,11.18
ErNiBi,9.68
VFeSb,14.2
ScSnAu,7.09
PrBiPd,4.19
GaP,118.153031393418
YBiPd,4.24
ScNiSb,13.91
ZrInAu,9.42
USnPt,5.41
CdTe,8.97031402923846
LaMgTl,6.26
DySbPt,4.43
GdSbPt,3.34
AlAs,80.87898505735956
LiZnSb,4.81
AlN,240.67197827649065
HoSbPd,7.72
AlSb,108.21515077187792
TmNiSb,9.85
LiMgSb,14.63
TmNiBi,9.36
LiAlGe,5.08
PbTe,3.205886009838356
YNiSb,9.03
LaBiPd,4.35
TiSiPt,34.51
BaTe,11.569691298509456
AsIn,21.438211001284497
TmBiPd,6.28
TiSnPd,11.03
LiAlSi,5.9
AgI,4.0876875222285385
HoPbAu,3.43
HfNiSn,16.44
TiFeTe,20.3
ClRb,2.508627712018214
BrK,2.8819708700878124
OSr,10.613351708533685
PbSe,2.235803693459575
BeO,310.93494411307404
LiZnN,17.39
TiTeOs,12.96
TiGePt,19.4
CuI,8.955042925685737
TiSiPd,25.31
LuBiPt,5.77
BP,484.6934033296575
AsB,1316.4723840736665
DyNiSb,9.46
LiCaAs,20.16
CdSe,17.555091536304044
MgScGa,3.88
HNa,16.683299345278375
ErBiPd,6.53
CaMgSn,4.19
TbPbAu,3.26
TmSbPd,7.66
AgBr,0.5324464372285903
BaO,3.105960682473178
CdS,25.818777597301363
CdS,19.876929564235827
TbNiSb,9.06
ZrSnPd,14.04
ScCoTe,12.7
YPbAu,3.28
MgTe,11.235859661473173
GaSb,35.71790768152866
LiCdAs,16.49
LiAgTe,3.38
TmSnAu,4.61
AgI,2.455758728769999
ZrSiPd,18.35
CSi,454.4101258161733
MgO,66.06932152405832
ErSbPd,7.65
BaNaSb,2.17
HoBiPd,6.78
HRb,5.7396759252164005
CsF,1.524343765199638
TmBiPt,5.94
INa,2.134234802032447
NaCaSb,5.45
BaSe,11.422769913530052
HoGeAu,4.34
FRb,2.956639064000633
GdPbAu,3.18
SZn,61.09127307917177
YNiP,2.37
ThSnPt,4.15
NdNiBi,5.25
DyBiPt,6.23
AsB,1769.0012100965014
LuNiBi,9.83
TeZn,20.90239196689849
BN,1036.7654131789038
ZrSnPt,13.23
AlSb,50.338684347127376
TbSbPt,3.82
BrNa,2.904536884483077
HoSnAu,4.46
UNiSn,5.36
ClCu,1.8972895569482464
AlP,67.74721670610886
LiMgBi,15.77
CdSe,12.476415846764713
SeZn,21.42210007080816
TiSnIr,3.9
BeTe,197.4769879630724
NaCaAs,7.57
LiCdAs,16.44
BaS,6.248899034839497
YSbPt,3.23
GaN,300.67351603144067
ZrFeTe,20.0
LiCdSb,3.51
ScNiBi,9.06
PrNiBi,4.47
ClCu,1.7289937126642387
DyBiPd,6.93
BrCu,8.669870475809189
IRb,2.01353397522604
CaS,37.00100974066377
ErNiSb,9.68
ScSbPt,7.67
CSi,489.4072006791169
GaN,268.3436985461308
CaCdSn,3.02
KSrSb,3.66
InSb,14.66007638969998
CaSe,18.88810237692597
ClK,7.25252794229154
InSb,10.878160439978116
LiSiB,11.09
TiNiSn,17.54
BrLi,2.8543014030268825
HoNiBi,9.44
BeS,196.41161229251907
KBaSb,2.88
FeSiW,6.21
GdNiBi,8.12
CaZnSi,2.46
SeZn,18.49308173215492
GaP,119.21823647454724
ErSnAu,4.53
CuH,5.777278381676896
GdNiSb,8.38
ErPbAu,3.51
ScSbPd,11.07
ZrSbRu,3.36
TbBiPd,6.93
VAsRu,5.04
GdSnAu,3.73
InP,69.15364550709126
CdTe,6.284424732028807
InP,85.89638395842621
ILi,2.106651824046763
InN,114.50887077331474
ZrAsIr,10.43
NdBiPd,4.59
TbBiPt,5.9
TaSbRu,16.23
NbSbRu,15.65
LuNiSb,9.97
AlAs,64.64743859679771
CaCdSi,3.39
TbNiBi,8.57
AgCl,0.5076814928374872
AsGa,30.679165561702888
LiZnP,9.72
ZrNiSn,19.05
ZrSiPt,14.11
BeAlB,18.71
MgCuSb,3.68
DyPbAu,3.35
InN,107.01979700285294
GdBiPd,6.8
BeTe,265.1332487131116
LiMgSb,14.63
LiCaSb,26.07
LiMgAs,20.18
DySbPd,7.67
HLi,40.228930506837536
VSbRu,6.9
BeO,368.0364229700956
LuSnAu,4.72
FK,7.499885792777106
OZn,70.88344515489206
ErBiPt,6.35
HoNiSb,9.69
