formula,target
AgBr,0.5324464372285903
AgCl,0.5076814928374872
BaO,3.105960682473178
BaS,6.248899034839497
BaSe,11.422769913530052
BaTe,11.569691298509456
CaO,26.50144293624608
CaS,37.00100974066377
CaSe,18.88810237692597
CaTe,11.251761058856696
CdO,8.596884604860122
CsF,1.524343765199638
BrK,2.8819708700878124
ClK,7.25252794229154
FK,7.499885792777106
HK,10.809415276413256
IK,2.095276061847134
BrLi,2.8543014030268825
ClLi,4.820913008186313
FLi,16.533653090291597
HLi,40.228930506837536
ILi,2.106651824046763
MgO,66.06932152405832
BrNa,2.904536884483077
ClNa,7.95828288351462
FNa,24.508893457866503
HNa,16.683299345278375
INa,2.134234802032447
PbSe,2.235803693459575
PbTe,3.205886009838356
BrRb,3.580745504548553
ClRb,2.508627712018214
FRb,2.956639064000633
HRb,5.7396759252164005
IRb,2.01353397522604
OSr,10.613351708533685
AgI,2.455758728769999
AlAs,64.64743859679771
AlN,245.2704093643856
AlP,67.74721670610886
AlSb,50.338684347127376
AsB,1316.4723840736665
BeO,310.93494411307404
BeTe,197.4769879630724
BN,1036.7654131789038
BP,440.8682856554829
CdS,19.876929564235827
CdSe,12.476415846764713
CdTe,6.284424732028807
ClCu,1.7289937126642387
CuH,5.777278381676896
CuI,8.955042925685737
AsGa,30.679165561702888
GaN,300.67351603144067
GaP,119.21823647454724
GaSb,24.721266390128005
AsIn,21.438211001284497
InN,114.50887077331474
InP,69.15364550709126
InSb,10.878160439978116
MgTe,8.352737219547302
CSi,454.4101258161733
SZn,61.09127307917177
SeZn,18.49308173215492
TeZn,20.90239196689849
AgI,4.0876875222285385
AlAs,80.87898505735956
AlN,240.67197827649065
AlP,80.52964132425929
AlSb,108.21515077187792
AsB,1769.0012100965014
BeO,368.0364229700956
BeS,196.41161229251907
BeSe,453.05605910409946
BeTe,265.1332487131116
BN,1297.6535193731645
BP,484.6934033296575
CdS,25.818777597301363
CdSe,17.555091536304044
CdTe,8.97031402923846
BrCu,8.669870475809189
ClCu,1.8972895569482464
AsGa,36.260249234690725
GaN,268.3436985461308
GaP,118.153031393418
GaSb,35.71790768152866
AsIn,24.83230873124552
InN,107.01979700285294
InP,85.89638395842621
InSb,14.66007638969998
MgTe,11.235859661473173
CSi,489.4072006791169
OZn,70.88344515489206
SZn,69.15317134764877
SeZn,21.42210007080816
