mpd_id,formula,elements,nsites,nelements,volume,density,density_atomic,deprecated,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,band_gap,efermi,is_gap_direct,is_metal,is_magnetic,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,universal_anisotropy,homogeneous_poisson,theoretical,cbm,vbm,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed
mp-862690,Ac,Ac,4,1,184.545400768621,8.17018178829182,46.1363501921552,False,-68.6374794125,-68.6374794125,0,0,True,0,0,6.1281104,False,True,False,0.0001065,5.77093764225138E-07,0.000026625,0,0,0.086,0.217,True,,,,,,,,,,,,,
mp-861724,Ac2AgIr,"Ac,Ag,Ir",4,3,110.157368786976,11.367264377623,27.539342196744,False,-53.1608325925,-53.1608325925,-0.413285237500005,0.087117584479166,False,,0,6.54635054,False,True,False,0.0000142,1.28906492197178E-07,0.0000142,0,0,2.065,0.4,True,,,,,,,,,,,,,
mp-1183076,Ac2AgPb,"Ac,Ag,Pb",4,3,134.563097198893,9.49047560262492,33.6407742997233,False,-54.2092705625,-54.2092705625,-0.480278042500003,0,True,-0.324611945312497,0,6.13266239,False,True,False,0.9106046,0.006767119804429,0.9106046,0,0,,,True,,,,,,,,,,,,,
mp-1183068,Ac2CdGa,"Ac,Cd,Ga",4,3,128.144910971021,8.24320958661719,32.0362277427552,False,-42.608511865,-42.608511865,-0.402831248749997,0.027136786875004,False,,0,5.12639259,False,True,False,0.0000473,3.69113370492697E-07,0.0000473,0,0,,,True,,,,,,,,,,,,,
mp-1183063,Ac2CdGe,"Ac,Cd,Ge",4,3,125.588956396753,8.44954191431781,31.3972390991883,False,-43.2777895375,-43.2777895375,-0.46480851375,0.05905399421875,False,,0,5.76222364,False,True,False,0.000004,3.18499342200396E-08,0.000004,0,0,,,True,,,,,,,,,,,,,
mp-1183086,Ac2CdHg,"Ac,Cd,Hg",4,3,133.072641278847,9.57097651614529,33.2681603197116,False,-52.12062061,-52.12062061,-0.433682350625005,0,True,-0.053152279125001,0,5.17959558,False,True,False,0.6282017,0.00472074270085,0.6282017,0,0,,,True,,,,,,,,,,,,,
mp-862319,Ac2CdSn,"Ac,Cd,Sn",4,3,135.917611879138,8.37029263624578,33.9794029697844,False,-46.0741865225,-46.0741865225,-0.54265394875,0.074600257102297,False,,0,5.96407139,False,True,False,0.0000194,1.42733526080867E-07,0.0000194,0,0,1.688,0.328,True,,,,,,,,,,,,,
mp-862786,Ac2CuGe,"Ac,Cu,Ge",4,3,113.979079499166,8.59830517904435,28.4947698747915,False,-40.88468443,-40.88468443,-0.386251328749999,0,True,-0.218289318333333,0,6.20896401,False,True,False,0.0010705,9.39207444650255E-06,0.0010705,0,0,0.072,0.344,True,,,,,,,,,,,,,
mp-861883,Ac2CuIr,"Ac,Cu,Ir",4,3,104.095514998837,11.3221899093384,26.0238787497093,False,-50.462575815,-50.462575815,-0.342298746250001,0,True,-0.141675559699997,0,7.14504033,False,True,False,0.0001685,1.6187056666359E-06,0.0001685,0,0,1.567,0.379,True,,,,,,,,,,,,,
mp-867122,Ac2CuSi,"Ac,Cu,Si",4,3,112.356329991021,8.06400869261188,28.0890824977551,False,-39.4950445725,-39.4950445725,-0.271164717499999,0.110748345156245,False,,0,6.76698989,False,True,False,0.0000543,4.83283852403684E-07,0.0000543,0,0,,,True,,,,,,,,,,,,,
mp-865470,Ac2CuSn,"Ac,Cu,Sn",4,3,126.204675428374,8.37154361177584,31.5511688570936,False,-43.5915163675,-43.5915163675,-0.374531716249997,0.142426585000002,False,,0,6.80725945,False,True,False,0.0144557,0.00011454171528,0.0144557,0,0,0,0.367,True,,,,,,,,,,,,,
mp-862683,Ac2GaCu,"Ac,Ga,Cu",4,3,115.894016066485,8.41443890031115,28.9735040166212,False,-40.1785111425,-40.1785111425,-0.287378448749997,0.015807976562498,False,,0,6.23088656,False,True,False,0.0000101,8.71485892266081E-08,0.0000101,0,0,,,True,,,,,,,,,,,,,
mp-1183054,Ac2GaSi,"Ac,Ga,Si",4,3,117.802078280347,7.77829716510881,29.4505195700866,False,-39.7901170125,-39.7901170125,-0.417242170000001,0.221917584374999,False,,0,6.20967477,False,True,False,0.0000075,6.36661093716142E-08,0.0000075,0,0,,,True,,,,,,,,,,,,,
mp-867241,Ac2GePd,"Ac,Ge,Pd",4,3,114.834178291864,9.15425073909615,28.708544572966,False,-44.2522420275,-5.17652197,-0.665207049999995,0,True,-0.389810995312496,0,6.34211032,False,True,False,0.0000011,9.57902966139772E-09,0.0000011,0,0,0.568,0.364,True,,,,,,,,,,,,,
mp-861872,Ac2HgGe,"Ac,Hg,Ge",4,3,124.868213249023,9.67094662430404,31.2170533122558,False,-50.71193587,-50.71193587,-0.583250138125002,0,True,-0.276060311249999,0,5.6623405,False,True,False,0.0000005,4.00422162686717E-09,0.0000005,0,0,0.136,0.358,True,,,,,,,,,,,,,
mp-1183377,Ac2InGa,"Ac,In,Ga",4,3,130.637750613957,8.11650745012556,32.6594376534894,False,-43.330148775,-43.330148775,-0.506067486249996,0,True,-0.010002021484368,0,5.88697277,False,True,False,0.0000022,1.68404614260478E-08,0.0000022,0,0,,,True,,,,,,,,,,,,,
mp-865951,Ac2IrAu,"Ac,Ir,Au",4,3,109.294007443914,12.8107596142288,27.3235018609785,False,-60.7501949925,-60.7501949925,-0.695376886249995,0,True,-0.241873198289468,0,6.8065001,False,True,False,0.0000008,7.31970598123171E-09,0.0000008,0,0,1.905,0.392,True,,,,,,,,,,,,,
mp-866107,Ac2IrPd,"Ac,Ir,Pd",4,3,104.785464496112,11.9270659101291,26.1963661240281,False,-53.8150889025,-53.8150889025,-0.666397431249997,0,True,-0.666397431249997,0,6.92651032,False,True,False,0.0000053,5.05795343417755E-08,0.0000053,0,0,1.639,0.379,True,,,,,,,,,,,,,
mp-1183093,Ac2IrRh,"Ac,Ir,Rh",4,3,101.412767737833,12.2661791475295,25.3531919344582,False,-53.97736874,-53.97736874,-0.534733513749998,0,True,-0.522575631250006,0,7.11146128,False,True,False,0.0008191,8.07689227176499E-06,0.0008191,0,0,,,True,,,,,,,,,,,,,
mp-1183074,Ac2MgGa,"Ac,Mg,Ga",4,3,128.984390213486,7.05528709392244,32.2460975533716,False,-38.489791235,-3.45406927,-0.228840256874998,0,True,-0.021618364583333,0,5.3624553,False,True,False,0.000180999999999,1.40327057948967E-06,0.000180999999999,0,0,,,True,,,,,,,,,,,,,
mp-1183078,Ac2MgPb,"Ac,Mg,Pb",4,3,141.484563079346,8.04545604181043,35.3711407698365,False,-49.790383815,-3.663828115,-0.26746134,0,True,-0.237514378125002,0,6.06368497,False,True,False,0.0000122,8.62284883557094E-08,0.0000122,0,0,,,True,,,,,,,,,,,,,
