,feature,pearson_corr,pearson_p,spearman_corr,spearman_p
21,mean_step_3,0.5701774497086297,1.086112457130011e-09,0.533321060382916,1.8631923247446295e-08
24,variance_step_3,0.48744669573541966,4.113613301028985e-07,0.43035977277508936,1.0836919369837217e-05
6,energy_per_atom,0.4675421295018991,1.3770448014380068e-06,0.13137755102040816,0.19959276598978098
20,mean_step_2,0.45431291511012234,2.950219851122621e-06,0.5428939617083947,9.201446078248224e-09
22,variance_step_1,0.45094428054796265,3.5639226257645316e-06,0.38306069850620655,0.00010767897465757135
2,volume,0.4438580883115824,5.2692847662896595e-06,0.44521880917315376,4.891429274702528e-06
0,nsites,0.412394897415645,2.7005483617882482e-05,0.3459904320220067,0.0005179527259254829
4,density_atomic,0.34274210936506116,0.0005891335954798635,0.3576688407321691,0.0003222672248743502
3,density,0.1784627693528668,0.08030173819671181,0.27996791500105195,0.005479723219216506
19,theoretical,0.1542196064667089,0.13149433362196974,0.154713186938819,0.13024886348524536
18,num_unique_magnetic_sites,0.10335823152611173,0.31371119707609335,0.05953298899285399,0.5624238248805822
14,total_magnetization,0.09808014774960838,0.33919262543569345,0.05259440310132516,0.6089071671174994
9,is_stable,0.09536329889468097,0.35280425941258625,0.10490679092703528,0.30647670307502445
10,band_gap,-0.0804121148839971,0.43364486200853786,-0.09220295609874814,0.369059235711789
16,total_magnetization_normalized_formula_units,0.06960370462285982,0.49811891488628646,0.045351355412879754,0.6591436518324421
5,uncorrected_energy_per_atom,-0.06788020585397249,0.5088442729660607,-0.13484904270986744,0.187866833738038
11,is_gap_direct,-0.053501582061162345,0.602734950568504,-0.037542880773160446,0.7150443155476414
23,variance_step_2,0.04722858027014643,0.645965585537705,0.18543551441195033,0.06899415881175204
17,num_magnetic_sites,0.045666783716410135,0.6569219210865646,0.046726638744551,0.6494787214975069
1,nelements,-0.042711896755849556,0.6778493121755411,-0.028670073377959494,0.7804257394118854
15,total_magnetization_normalized_vol,0.03950141484030424,0.7008669919223688,0.03386947867949187,0.7418943041311534
13,is_magnetic,0.029767196773389633,0.7722474126290267,0.03703892663358106,0.7187082452366431
8,energy_above_hull,-0.017873520482400814,0.8620496922197222,-0.10283501597181202,0.31618032221403797
7,formation_energy_per_atom,-0.013758420250284434,0.8935967844464321,0.047404270986745205,0.6447377383521626
12,is_metal,0.007142612478335548,0.9446429710868273,0.0009277220240466626,0.9928043326468285
