,feature,pearson_corr,pearson_p,spearman_corr,spearman_p
24,variance_step_3,0.9180087388609505,6.132238286480313e-40,0.9123579844308856,1.271296303100495e-38
20,mean_step_1,0.5701774497086296,1.086112457130011e-09,0.533321060382916,1.8631923247446295e-08
21,mean_step_2,0.49792541595601836,2.110443853486365e-07,0.5344519250999369,1.7161561386539843e-08
0,nsites,0.2897597691680523,0.00399142501038931,0.03839462625482002,0.7088665193644133
2,volume,0.2494136764086844,0.013752533029468302,0.06523511466442246,0.5255333745072328
22,variance_step_1,0.24719661216573022,0.014644461260765984,0.2546155059962129,0.011842972054707778
3,density,0.23332852740847626,0.021444039820746937,0.15131232905533346,0.1390154732558728
23,variance_step_2,0.18527623339978316,0.06923726669180706,0.3425205133599831,0.0005943016964275336
1,nelements,-0.15984816598607188,0.1178204955202363,-0.08527148204683904,0.4062824288444543
11,is_gap_direct,-0.15100034278276955,0.13984156558173286,-0.05972731032093707,0.5611466684724062
14,total_magnetization,0.14759228366837018,0.1491091783837355,0.24009742834662065,0.01784631789842585
19,theoretical,0.14372171578125922,0.16018557732788483,0.21217808494466606,0.03693871587859002
18,num_unique_magnetic_sites,0.1412472725445355,0.1675805674155373,0.1923062592585864,0.05914712594879831
9,is_stable,0.1343516877743732,0.189515369458774,0.146536469866335,0.15207186973729908
16,total_magnetization_normalized_formula_units,0.10979934220742765,0.28434025329804846,0.23551565196794497,0.02021903658102293
10,band_gap,-0.10756720935598064,0.29430391443854803,-0.1098172778958678,0.28426111400127724
17,num_magnetic_sites,0.0992905650029948,0.33323658223450214,0.17602137208884835,0.08459441025634981
8,energy_above_hull,-0.09595735540000647,0.34979931566100575,-0.14540696234692724,0.15528994644704364
15,total_magnetization_normalized_vol,0.08881626529466141,0.3869782310824692,0.23332078903205244,0.021448484528121363
13,is_magnetic,0.08087218040628344,0.4310102272369779,0.18435283938077848,0.07066030170329753
6,energy_per_atom,0.06601150498109326,0.5206063594100564,-0.22504207868714493,0.026678863169894103
12,is_metal,0.06175471268223532,0.547904813149714,0.08256726014015298,0.42138230707206714
7,formation_energy_per_atom,-0.05970257366397197,0.5613091707956217,-0.15112823479907425,0.1395024784615106
5,uncorrected_energy_per_atom,-0.03920553414479847,0.7030023751443679,-0.11901693667157584,0.24559410762315806
4,density_atomic,0.032361732862565384,0.753007146692304,0.026614769619187878,0.795810532812368
