index,mpd_id,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
1,mp-861724,2.9264228343963623,3.4555001258850098,3.0498900413513184,3.6002464294433594,3.253004550933838,3.33856201171875,4.124354839324951,3.193019390106201,3.540605068206787
2,mp-1183076,2.357276678085327,2.419595241546631,2.4096970558166504,4.230920314788818,3.0773353576660156,3.0468506813049316,4.652415752410889,3.047147274017334,3.374725341796875
3,mp-1183068,3.5147876739501953,2.806544303894043,3.154740333557129,4.263103485107422,2.942451000213623,3.7063827514648438,5.724008560180664,3.5529298782348633,4.453496932983398
4,mp-1183063,2.7605674266815186,2.709425210952759,3.202911853790283,5.060592174530029,4.435233116149902,4.440240859985352,4.122012138366699,3.70542049407959,3.9010095596313477
5,mp-1183086,2.8293936252593994,2.3913371562957764,2.5866405963897705,4.090233325958252,2.506591320037842,3.951455593109131,4.330966949462891,2.907353401184082,3.5944533348083496
6,mp-862319,6.314987659454346,2.652366876602173,2.758916139602661,5.318824291229248,4.235652923583984,3.6043524742126465,5.102888107299805,3.2544779777526855,4.109202861785889
7,mp-862786,2.820232391357422,2.8623909950256348,3.6284117698669434,4.961275577545166,6.032064437866211,4.209320545196533,4.004169464111328,4.407839298248291,4.606048583984375
8,mp-861883,3.0876545906066895,2.853968620300293,3.9663681983947754,5.5838704109191895,4.070924758911133,3.63999080657959,5.250085830688477,3.4051284790039062,4.129940032958984
9,mp-867122,2.7608656883239746,2.721128463745117,2.5920252799987793,5.626240253448486,5.574678897857666,3.5932602882385254,4.067708492279053,3.329613208770752,7.248790740966797
10,mp-865470,3.432793617248535,2.781717300415039,3.2860188484191895,5.67894983291626,3.4526124000549316,3.332186698913574,4.1343231201171875,3.2396936416625977,4.163943767547607
11,mp-862683,3.21091890335083,2.7470600605010986,3.2126197814941406,5.2724103927612305,3.6084933280944824,3.432013511657715,3.828707218170166,3.6896719932556152,4.876507759094238
12,mp-1183054,3.3734021186828613,3.5927557945251465,2.943296194076538,5.58854341506958,4.886122226715088,3.479586124420166,4.0622968673706055,3.754941463470459,6.70040225982666
13,mp-867241,2.66733717918396,3.107499122619629,2.993703603744507,3.4842910766601562,4.697150230407715,4.86898946762085,3.9454731941223145,4.405648708343506,3.760018825531006
14,mp-861872,2.81437611579895,2.7820913791656494,2.929600715637207,3.5938944816589355,5.114274501800537,4.320788383483887,3.4358015060424805,3.362952709197998,3.7566184997558594
15,mp-1183377,4.232639789581299,3.1756510734558105,3.043424129486084,4.705749988555908,4.009682655334473,3.4304285049438477,5.043741703033447,3.4113540649414062,4.717504024505615
16,mp-865951,2.764322280883789,3.2102508544921875,3.058074474334717,3.8291683197021484,3.4466347694396973,4.226263999938965,3.5647292137145996,2.995684862136841,3.3963418006896973
17,mp-866107,2.9983816146850586,3.5241713523864746,3.7439651489257812,4.094987392425537,3.979175090789795,4.3800272941589355,5.778250694274902,3.8119258880615234,3.7779202461242676
18,mp-1183093,3.8577098846435547,3.7003488540649414,4.227175712585449,5.111025333404541,3.710176467895508,3.484065532684326,3.9840798377990723,3.203521251678467,4.118343353271484
19,mp-1183074,4.698364734649658,3.3054418563842773,2.889819622039795,4.894140720367432,4.154872417449951,3.929187297821045,5.716424942016602,3.8530049324035645,4.078034400939941
20,mp-1183078,4.437432765960693,2.8925678730010986,2.661959648132324,4.864535808563232,3.5409722328186035,3.65435791015625,4.782870292663574,3.3368520736694336,3.95460844039917
21,mp-866103,4.617987155914307,2.592890739440918,2.811047077178955,4.774895191192627,3.9427032470703125,3.8253402709960938,4.132299900054932,3.4806394577026367,4.17170524597168
22,mp-1183079,4.318939685821533,2.6171302795410156,2.8085989952087402,4.557149410247803,3.35145902633667,4.418034553527832,4.582752704620361,3.2881484031677246,3.85675048828125
23,mp-983587,4.151054859161377,3.3584518432617188,2.7675528526306152,5.403217792510986,7.0866804122924805,4.686652660369873,3.9922218322753906,5.117542266845703,4.8588948249816895
24,mp-862849,3.878265380859375,3.540066719055176,3.6578893661499023,4.563117980957031,6.2010884284973145,4.1585187911987305,5.432535648345947,4.1483564376831055,4.192362308502197
25,mp-11107,5.596906661987305,3.000117301940918,6.390367031097412,6.849752902984619,4.049009323120117,3.574702739715576,6.664809226989746,8.556304931640625,5.514930248260498
26,mp-32800,5.7254862785339355,3.2381529808044434,4.248623847961426,5.924252986907959,3.800914764404297,3.0006089210510254,5.4541192054748535,4.133256435394287,4.818724155426025
27,mp-862698,2.605818033218384,2.7308266162872314,3.117288112640381,4.045618057250977,4.130280017852783,4.206485748291016,3.6589431762695312,3.228344440460205,3.9857654571533203
28,mp-983586,2.6475636959075928,2.7389023303985596,2.7899463176727295,3.7598562240600586,4.694805145263672,3.7078490257263184,3.874056339263916,3.014286518096924,4.522585391998291
29,mp-865855,2.61346697807312,2.7920515537261963,3.300051212310791,4.025068283081055,4.117044925689697,4.366486072540283,4.319087982177734,3.367239475250244,3.849992275238037
30,mp-864795,6.112386226654053,2.4111568927764893,2.5541975498199463,4.026115894317627,3.7309446334838867,3.444823741912842,5.015398979187012,2.987907648086548,3.991421699523926
31,mp-1183072,2.5359511375427246,2.4532358646392822,2.7303149700164795,3.837207794189453,2.2369110584259033,4.1950602531433105,4.523996353149414,3.143970012664795,3.798351287841797
32,mp-1183073,3.0882530212402344,2.635493040084839,2.5490384101867676,4.735607624053955,2.8580541610717773,3.8981213569641113,4.382757663726807,3.138211727142334,3.7498831748962402
33,mp-1183070,3.4320902824401855,2.544529438018799,2.481576442718506,4.375960826873779,3.368368625640869,3.7032556533813477,5.169684410095215,3.3794608116149902,4.132542133331299
34,mp-1183066,2.4821088314056396,2.9633774757385254,2.9856040477752686,3.9843997955322266,3.719148635864258,4.147037982940674,3.580577850341797,2.717046022415161,3.5104475021362305
35,mp-865535,2.492751121520996,3.1472039222717285,3.783400535583496,5.234349727630615,4.863019943237305,3.456697463989258,4.195965766906738,4.414689540863037,4.5666351318359375
36,mp-866018,2.4903461933135986,3.119288921356201,4.473363876342773,4.835717678070068,4.152771949768066,4.206580638885498,4.367152214050293,5.023314952850342,4.22296667098999
37,mp-1183067,2.5269410610198975,3.0633325576782227,2.718066453933716,3.9407100677490234,3.9332356452941895,3.6725778579711914,3.4576568603515625,2.695499897003174,3.6039934158325195
38,mp-1183106,3.989287853240967,3.1259894371032715,3.251030921936035,4.997377395629883,5.467228889465332,3.556617259979248,5.888922214508057,2.8611228466033936,4.256381034851074
39,mp-865398,2.4877076148986816,3.3631720542907715,4.025610446929932,5.601103782653809,4.064364433288574,3.6568307876586914,4.974679470062256,3.4911046028137207,3.7969565391540527
40,mp-866289,2.644221782684326,3.4244699478149414,2.9647207260131836,5.593238353729248,3.8667426109313965,3.613393783569336,3.790093421936035,3.5932865142822266,4.6270527839660645
41,mp-1183061,2.3259856700897217,2.6977810859680176,3.1160221099853516,5.6797261238098145,4.696796894073486,3.3772287368774414,5.545040130615234,2.929805278778076,4.589037895202637
42,mp-985305,3.6345906257629395,2.5275094509124756,2.4220032691955566,4.6405510902404785,3.2105207443237305,3.806142807006836,4.436537742614746,2.983612298965454,4.256640911102295
43,mp-861939,4.220219612121582,2.679093599319458,2.2645299434661865,5.29142951965332,2.8798024654388428,3.613839626312256,4.461885452270508,3.2480387687683105,4.452583312988281
44,mp-985506,2.805983304977417,2.3817920684814453,2.235218048095703,4.486854553222656,3.3660545349121094,4.210996150970459,4.744251251220703,2.7165491580963135,4.061770915985107
45,mp-866199,3.9762930870056152,2.4572629928588867,2.508570432662964,2.9860212802886963,3.0635995864868164,3.054422378540039,3.4810757637023926,2.214796304702759,3.772299289703369
46,mp-1183065,2.8539655208587646,2.38773775100708,2.2474863529205322,2.53035831451416,2.578815460205078,3.0788769721984863,3.0463647842407227,2.369553804397583,2.3010506629943848
47,mp-862890,3.455893039703369,2.6078040599823,2.2796292304992676,4.508984088897705,2.736865758895874,3.0516304969787598,3.0656089782714844,2.4409544467926025,2.781574010848999
48,mp-865950,3.049267292022705,2.4246509075164795,2.594614028930664,3.328554630279541,2.8303186893463135,3.073479652404785,2.4628217220306396,2.6880993843078613,2.113823890686035
49,mp-862972,2.7521145343780518,2.348439931869507,2.559330940246582,3.89125394821167,2.571504592895508,4.1579437255859375,2.2924954891204834,2.489577293395996,2.4174516201019287
50,mp-867311,4.002676010131836,2.7191102504730225,2.9901866912841797,3.314462184906006,2.9532642364501953,3.1733717918395996,3.5185866355895996,4.1095733642578125,2.57938289642334
51,mp-862617,5.752665042877197,4.924531936645508,3.5911312103271484,6.663852691650391,4.512337684631348,4.623340129852295,4.5415120124816895,7.082063674926758,5.947006702423096
52,mp-1183115,5.727059364318848,5.28121280670166,12.896905899047852,7.102524757385254,6.520627498626709,3.7029623985290527,7.527641296386719,13.384151458740234,6.668292999267578
53,mp-867838,2.8829870223999023,2.277925968170166,2.6711337566375732,3.0504345893859863,2.4260079860687256,4.889984130859375,2.490713596343994,2.370107889175415,2.802058219909668
54,mp-866016,3.5476856231689453,2.329049587249756,2.75989031791687,4.811581611633301,2.6163549423217773,5.335158824920654,2.8040740489959717,2.2707035541534424,2.6828653812408447
